Sl. No.,Transaction Name,Organization Industry,Organization Location,Funding Type,Money Raised,Announced Date,Announced Year,Funding Status,Total Funding Amount
1,Series C - Nesto,"Financial Services, FinTech, Real Estate","Montreal, Quebec, Canada, North America",Series C,80000000,2022-12-13,2022,Late Stage Venture,151354383
2,Private Equity Round - Pomerleau,"Construction, Energy, Real Estate","Quebec, Quebec, Canada, North America",Private Equity,150000000,2022-12-07,2022,Private Equity,200000000
3,Private Equity Round - Wilkar Property Management,"Property Management, Real Estate","Westmount, Quebec, Canada, North America",Private Equity,,2022-12-07,2022,Private Equity,
4,Grant - Mero Technologies,"Analytics, Internet of Things, Real Estate, Software","Toronto, Ontario, Canada, North America",Grant,1500000,2023-01-10,2023,,4800000
5,Private Equity Round - TSE Management Services,"Property Management, Real Estate","Richmond Hill, Ontario, Canada, North America",Private Equity,,2022-12-07,2022,Private Equity,
6,Seed Round - Spexi,"Construction, Drones, Geospatial, Real Estate","Vancouver, British Columbia, Canada, North America",Seed,5500000,2022-10-04,2022,Seed,5500000
7,Series B - Properly,"Internet, Real Estate","Toronto, Ontario, Canada, North America",Series B,36000000,2022-08-08,2022,Early Stage Venture,202000000
8,Series A - Perch,"Financial Services, Internet, Real Estate","Toronto, Ontario, Canada, North America",Series A,4000000,2022-10-18,2022,Early Stage Venture,5000000
9,Seed Round - Ownly,"Analytics, Big Data, Lead Generation, Real Estate, Software","Calgary, Alberta, Canada, North America",Seed,2550000,2022-10-03,2022,Seed,2550000
10,Series A - Intelligent City,"Manufacturing, Real Estate, Robotics, Software","Vancouver, British Columbia, Canada, North America",Series A,22000000,2022-07-19,2022,Early Stage Venture,21217819
11,Venture Round - Parity,"Energy, Real Estate, Software","Toronto, Ontario, Canada, North America",Venture - Series Unknown,8000000,2022-10-11,2022,,10511894
12,Private Equity Round - Pomerleau,"Construction, Energy, Real Estate","Quebec, Quebec, Canada, North America",Private Equity,50000000,2018-06-21,2018,Private Equity,200000000
13,Series A - Alvéole,"CleanTech, Environmental Consulting, Green Building, Real Estate, Software","Montréal, Quebec, Canada, North America",Series A,8100000,2022-11-10,2022,Early Stage Venture,9250000
