Geography,Ownership type,Residency status,2020
Nova Scotia,Individual,Resident,455530
Nova Scotia,Individual,Non-resident,27630
Nova Scotia,Non-individual,Resident,8965
Nova Scotia,Non-individual,Non-resident,220
New Brunswick,Individual,Resident,381770
New Brunswick,Individual,Non-resident,22640
New Brunswick,Non-individual,Resident,8620
New Brunswick,Non-individual,Non-resident,105
Ontario,Individual,Resident,5865795
Ontario,Individual,Non-resident,186490
Ontario,Non-individual,Resident,94510
Ontario,Non-individual,Non-resident,835
Manitoba,Individual,Resident,528285
Manitoba,Individual,Non-resident,12455
Manitoba,Non-individual,Resident,8650
Manitoba,Non-individual,Non-resident,
British Columbia,Individual,Resident,2068280
British Columbia,Individual,Non-resident,88465
British Columbia,Non-individual,Resident,40985
British Columbia,Non-individual,Non-resident,205
Yukon,Individual,Resident,15225
Yukon,Individual,Non-resident,1400
Yukon,Non-individual,Resident,445
Yukon,Non-individual,Non-resident,
Nunavut,Individual,Resident,2895
Nunavut,Individual,Non-resident,290
Nunavut,Non-individual,Resident,260
Nunavut,Non-individual,Non-resident,
