Date,Inflation Rate,Simple Growth Rate %,Y-o-Y Change %,Annual % Rate,Type
Nov-30-2022,6.8,NM,NM,NM,Actual
Oct-31-2022,6.88,NM,NM,NM,Actual
Sep-30-2022,6.86,NM,NM,NM,Actual
Aug-31-2022,7.01,NM,NM,NM,Actual
Jul-31-2022,7.59,NM,NM,NM,Actual
Jun-30-2022,8.13,NM,NM,NM,Actual
May-31-2022,7.73,NM,NM,NM,Actual
Apr-30-2022,6.77,NM,NM,NM,Actual
Mar-31-2022,6.66,NM,NM,NM,Actual
Feb-28-2022,5.69,NM,NM,NM,Actual
Jan-31-2022,5.14,NM,NM,NM,Actual
Dec-31-2021,4.8,NM,NM,NM,Actual
Nov-30-2021,4.72,NM,NM,NM,Actual
Oct-31-2021,4.65,NM,NM,NM,Actual
Sep-30-2021,4.38,NM,NM,NM,Actual
Aug-31-2021,4.09,NM,NM,NM,Actual
Jul-31-2021,3.72,NM,NM,NM,Actual
Jun-30-2021,3.06,NM,NM,NM,Actual
May-31-2021,3.6,NM,NM,NM,Actual
Apr-30-2021,3.39,NM,NM,NM,Actual
Mar-31-2021,2.2,NM,NM,NM,Actual
Feb-28-2021,1.09,NM,NM,NM,Actual
Jan-31-2021,1.02,NM,NM,NM,Actual
Dec-31-2020,0.73,NM,NM,NM,Actual
Nov-30-2020,0.95,NM,NM,NM,Actual
Oct-31-2020,0.66,NM,NM,NM,Actual
Sep-30-2020,0.51,NM,NM,NM,Actual
Aug-31-2020,0.15,NM,NM,NM,Actual
Jul-31-2020,0.15,NM,NM,NM,Actual
Jun-30-2020,0.66,NM,NM,NM,Actual
May-31-2020,-0.37,NM,NM,NM,Actual
Apr-30-2020,-0.22,NM,NM,NM,Actual
Mar-31-2020,0.89,NM,NM,NM,Actual
Feb-29-2020,2.16,NM,NM,NM,Actual
Jan-31-2020,2.4,NM,NM,NM,Actual
Dec-31-2019,2.25,NM,NM,NM,Actual
Nov-30-2019,2.17,NM,NM,NM,Actual
Oct-31-2019,1.86,NM,NM,NM,Actual
Sep-30-2019,1.87,NM,NM,NM,Actual
Aug-31-2019,1.94,NM,NM,NM,Actual
Jul-31-2019,2.01,NM,NM,NM,Actual
Jun-30-2019,2.02,NM,NM,NM,Actual
May-31-2019,2.4,NM,NM,NM,Actual
Apr-30-2019,2.03,NM,NM,NM,Actual
Mar-31-2019,1.88,NM,NM,NM,Actual
Feb-28-2019,1.51,NM,NM,NM,Actual
Jan-31-2019,1.44,NM,NM,NM,Actual
Dec-31-2018,1.99,NM,NM,NM,Actual
Nov-30-2018,1.68,NM,NM,NM,Actual
Oct-31-2018,2.44,NM,NM,NM,Actual
Sep-30-2018,2.22,NM,NM,NM,Actual
Aug-31-2018,2.84,NM,NM,NM,Actual
Jul-31-2018,2.99,NM,NM,NM,Actual
Jun-30-2018,2.45,NM,NM,NM,Actual
May-31-2018,2.22,NM,NM,NM,Actual
Apr-30-2018,2.22,NM,NM,NM,Actual
Mar-31-2018,2.31,NM,NM,NM,Actual
Feb-28-2018,2.16,NM,NM,NM,Actual
Jan-31-2018,1.7,NM,NM,NM,Actual
Dec-31-2017,1.87,NM,NM,NM,Actual
Nov-30-2017,2.1,NM,NM,NM,Actual
Oct-31-2017,1.39,NM,NM,NM,Actual
Sep-30-2017,1.55,NM,NM,NM,Actual
Aug-31-2017,1.4,NM,NM,NM,Actual
Jul-31-2017,1.16,NM,NM,NM,Actual
Jun-30-2017,1.01,NM,NM,NM,Actual
May-31-2017,1.32,NM,NM,NM,Actual
Apr-30-2017,1.64,NM,NM,NM,Actual
Mar-31-2017,1.56,NM,NM,NM,Actual
Feb-28-2017,2.05,NM,NM,NM,Actual
Jan-31-2017,2.13,NM,NM,NM,Actual
Dec-31-2016,1.5,NM,NM,NM,Actual
Nov-30-2016,1.18,NM,NM,NM,Actual
Oct-31-2016,1.49,NM,NM,NM,Actual
Sep-30-2016,1.34,NM,NM,NM,Actual
Aug-31-2016,1.1,NM,NM,NM,Actual
Jul-31-2016,1.26,NM,NM,NM,Actual
Jun-30-2016,1.49,NM,NM,NM,Actual
May-31-2016,1.5,NM,NM,NM,Actual
Apr-30-2016,1.66,NM,NM,NM,Actual
Mar-31-2016,1.27,NM,NM,NM,Actual
Feb-29-2016,1.36,NM,NM,NM,Actual
Jan-31-2016,2.01,NM,NM,NM,Actual
Dec-31-2015,1.61,NM,NM,NM,Actual
Nov-30-2015,1.36,NM,NM,NM,Actual
