"YEAR","GEO","DGUID","Type of unit","UOM","COORDINATE","VALUE"
"2011","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.3.2",
"2012","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.3.2",
"2013","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.3.2",
"2014","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.3.2",
"2015","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.3.2",
"2016","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.3.2","515"
"2017","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.3.2",
"2018","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.3.2",
"2019","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.3.2",
"2020","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.3.2",
"2021","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.3.2",
"2011","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.3.3","561"
"2012","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.3.3","563"
"2013","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.3.3","603"
"2014","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.3.3","659"
"2015","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.3.3","615"
"2016","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.3.3","621"
"2017","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.3.3","593"
"2018","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.3.3","642"
