,Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Average Price,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
0,2005-01-01,100.0,100.0,100.0,100.0,100.0,100.0,221200,234700,194200,273800,204300,171700
1,2005-02-01,100.6,100.6,100.4,100.7,100.3,101.1,222600,236200,195000,275600,205000,173600
2,2005-03-01,101.4,101.4,101.0,101.4,100.6,101.7,224300,237900,196200,277700,205500,174700
3,2005-04-01,102.2,102.3,101.8,102.2,100.8,102.3,226000,240000,197600,279800,206000,175600
4,2005-05-01,102.8,103.0,102.4,103.0,101.0,102.8,227500,241800,198800,282000,206300,176500
5,2005-06-01,103.9,104.1,103.2,104.1,101.4,103.9,229800,244400,200400,285000,207200,178400
6,2005-07-01,105.1,105.5,104.4,105.4,102.5,104.8,232500,247600,202700,288600,209400,180000
7,2005-08-01,106.4,106.9,105.7,106.7,103.4,105.5,235400,250900,205200,292200,211300,181200
8,2005-09-01,107.9,108.3,107.2,108.0,104.7,107.9,238600,254200,208200,295800,214000,185300
9,2005-10-01,109.4,110.0,108.5,109.7,105.7,108.9,242000,258100,210700,300300,215900,187000
10,2005-11-01,111.0,111.6,110.2,111.1,107.0,110.2,245500,261900,214000,304200,218700,189200
11,2005-12-01,112.4,113.1,111.6,112.6,107.6,111.4,248600,265500,216700,308300,219900,191300
12,2006-01-01,114.1,114.7,113.2,114.1,109.7,113.2,252300,269300,219800,312500,224100,194400
13,2006-02-01,115.6,116.3,114.9,115.6,111.1,114.6,255800,273000,223100,316400,227000,196800
14,2006-03-01,117.2,118.1,116.5,117.2,112.2,115.9,259300,277200,226200,320900,229300,199000
15,2006-04-01,119.0,119.9,118.3,118.9,113.8,117.5,263200,281400,229800,325500,232500,201800
16,2006-05-01,120.7,121.6,120.2,120.5,115.5,119.2,267000,285500,233400,329800,236000,204700
17,2006-06-01,122.4,123.4,122.1,122.0,117.5,120.7,270800,289600,237100,333900,240000,207200
18,2006-07-01,124.1,125.0,123.8,123.4,119.0,122.5,274400,293400,240500,337800,243100,210300
19,2006-08-01,125.7,126.6,125.6,124.8,120.7,124.3,278000,297100,244000,341700,246500,213400
20,2006-09-01,127.2,128.2,127.1,126.4,121.9,126.2,281300,300800,246900,346100,249000,216600
21,2006-10-01,128.3,129.4,128.6,127.1,123.4,126.8,283800,303600,249800,348100,252200,217700
22,2006-11-01,129.5,130.6,130.1,128.2,124.5,127.7,286400,306500,252600,350900,254300,219200
23,2006-12-01,130.9,132.0,132.0,129.2,125.8,128.8,289500,309900,256400,353800,257100,221200
24,2007-01-01,132.4,133.6,133.7,130.6,126.9,130.2,292800,313500,259600,357500,259300,223500
25,2007-02-01,134.1,135.5,135.6,132.4,128.0,131.5,296600,318100,263300,362400,261600,225700
26,2007-03-01,135.8,137.2,137.4,133.8,129.7,133.0,300300,322000,266900,366400,265000,228300
27,2007-04-01,137.3,138.9,138.9,135.4,130.7,134.4,303600,325900,269700,370600,267000,230800
28,2007-05-01,139.1,140.8,141.2,137.1,132.0,135.9,307700,330500,274200,375300,269600,233300
29,2007-06-01,140.7,142.5,143.1,138.5,133.1,137.3,311200,334400,277900,379200,271900,235700
30,2007-07-01,142.1,144.0,144.7,139.8,134.1,138.5,314400,338000,281100,382900,273900,237800
31,2007-08-01,143.3,145.3,145.9,141.0,135.1,139.5,317000,341000,283400,386100,276100,239600
32,2007-09-01,144.4,146.5,147.3,142.1,135.7,140.7,319500,343900,286100,389200,277200,241500
33,2007-10-01,145.6,147.8,148.5,143.2,136.4,141.7,322100,346800,288400,392200,278700,243300
34,2007-11-01,146.7,148.8,149.5,144.3,137.3,142.9,324400,349300,290400,395000,280500,245400
