"Date","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","Number of Immigrants","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","45564","","","","0"
"2000-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","57871","","","","0"
"2000-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","66518","","","","0"
"2000-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","57476","","","","0"
"2001-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","58485","","","","0"
"2001-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","70048","","","","0"
"2001-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","69951","","","","0"
"2001-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","52154","","","","0"
"2002-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","61589","","","","0"
"2002-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","72711","","","","0"
"2002-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","52919","","","","0"
"2002-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","41830","","","","0"
"2003-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","45558","","","","0"
"2003-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","58863","","","","0"
"2003-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","63340","","","","0"
"2003-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","53588","","","","0"
"2004-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","54914","","","","0"
"2004-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","67241","","","","0"
"2004-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","65579","","","","0"
"2004-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","48090","","","","0"
"2005-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","56438","","","","0"
"2005-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","74471","","","","0"
"2005-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","75945","","","","0"
"2005-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","55386","","","","0"
"2006-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","55134","","","","0"
"2006-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","67909","","","","0"
"2006-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","70356","","","","0"
"2006-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","58245","","","","0"
"2007-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","47875","","","","0"
"2007-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","61649","","","","0"
"2007-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","71657","","","","0"
"2007-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","55573","","","","0"
"2008-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","53145","","","","0"
"2008-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","69247","","","","0"
